Date,ODA/MMR_LE_Value,ODA/MMR_LP_Value,ODA/MMR_PPPGDP_Value,ODA/MMR_BCA_NGDPD_Value,ODA/MMR_TX_RPCH_Value,ODA/MMR_TXG_RPCH_Value,ODA/MMR_TM_RPCH_Value,ODA/MMR_TMG_RPCH_Value,ODA/MMR_GGXWDG_NGDP_Value,ODA/MMR_GGXCNL_NGDP_Value,ODA/MMR_GGXONLB_NGDP_Value,ODA/MMR_GGR_NGDP_Value,ODA/MMR_GGX_NGDP_Value,ODA/MMR_NGSD_NGDP_Value,ODA/MMR_PPPEX_Value,ODA/MMR_PCPIPCH_Value,ODA/MMR_PCPIEPCH_Value,ODA/MMR_PCPI_Value,ODA/MMR_PCPIE_Value,ODA/MMR_PPPSH_Value,ODA/MMR_NID_NGDP_Value,ODA/MMR_LUR_Value
1998-12-31,,,,,,,,,,,,,,,,,,0.49135585728604,0.33724873311959996,,,
1999-12-31,,0.012760508654186,0.12644229555382,-0.54271594909288,,,,,-0.26080150281778003,-0.22776307754935998,-0.27798682972718997,-0.092144572667096,-0.12245269286753999,0.09994093325457801,0.20793979063173,-0.77818707261478,-0.8545885841364,0.10899375926196002,0.049043870432029006,0.065217391304348,0.085130441805993,0.0
2000-12-31,,0.011008414352356,0.16333071836826,-0.12257586972613001,-0.28112689506983,-0.47330189881483004,-0.60136310904872,5.429739776951701,0.16876443464154,0.8866631523458101,1.0560260586319,-0.16569879984514002,0.04126062616628701,0.27741381162066,0.0018179892685682,-1.1580878979723002,-0.22002446982054996,-0.01723599269757,0.038249775925689,0.09183673469387701,-0.073688128023818,0.0
2001-12-31,,0.0090989456435025,0.13881931332126002,-0.18069849839717,0.7496955607218,0.4138467387923,-5.9698072026191,-3.3014569842737997,0.47527880151246993,-0.30581167924001,-0.34458174904942995,-0.1246713070379,-0.1892174432497,-0.12048091474692998,0.22061699466164,-21.024956471271,13.069281045752001,0.34503573535157,0.53815049423548,0.08411214953271001,-0.070309361189233,0.0
2002-12-31,,0.0075212068118202,0.13744564941547,-1.3797364085666999,-0.9225245175577299,-0.80564247995306,-2.1004977309325,-1.8795658945888,-0.25055037750103,-0.39001811229623995,-0.43002175489484995,-0.10540731578017,-0.19230060784675,0.08746773731000901,0.39370101470822,0.68402747587166,0.0037907646566942,0.58103482643734,0.54018844178373,0.086206896551724,-0.12290406222989998,0.0
2003-12-31,,0.0064046826288889,0.16114589995686998,-0.70281995661605,-4.2984891792568,-1.7238993710692,-0.57698703026272,-0.475551239575,-0.23320676305797,0.51732101616628,0.6912637828668399,-0.072592592592593,0.063397947548461,-0.023030942334740005,0.1814058017544,-0.57063197026022,-0.8527184879394301,0.24947947810926002,0.079563667339727,0.095238095238095,0.08612534489554599,0.0
2004-12-31,,0.0060056896006744,0.16687375904695,5.2700729927007,-0.61512750680862,-0.43944396177236994,1.1114779874214,0.7031913734887301,-0.040163881540745,-0.13307240704501,-0.17051153460381002,0.080404685835996,0.010293802273215,0.32157639013856,0.0082841689093827,-0.84940676607343,-0.035319255907491,0.037575353958191,0.07674941587504801,0.079710144927536,0.10796588640900001,0.0
2005-12-31,,0.0061374109761206,0.17222149036139,0.7782305005820699,-5.9054358314571,-6.2954122752635,-1.0651574949736,-0.8852721110187399,-0.07307666453803,-0.30122899423125,-0.34401451027811,0.16067028092656,0.030283733106913,-0.21970315904139,0.15449755690414002,1.8589299973383,0.64377850162866,0.1074114363435,0.12616148333313001,0.08724832214765099,0.080167048804455,0.0
2006-12-31,,0.0063498011783565,0.16550852219517,0.10736497545008,1.5532096255983001,1.4009248960955,42.38399999999999,-25.212374581939997,-0.18010243393917003,0.2964824120603,0.39769585253455997,0.085095541401274,0.12554082823982,0.038827327458337,0.17683826851824,1.4511684200726003,2.0693563728599,0.26327707572508996,0.38722921213188,0.067901234567901,0.037525585626563995,0.0
2007-12-31,,0.0065166121891679,0.1497191710927,-1.0994679278747,-0.6068209250366,-0.63791295867366,0.6562788124654301,0.7944839652830501,-0.30987207978153003,-0.099390919158361,-0.10814375206066999,-0.040619863817797995,-0.053572518152419,0.081555518226104,0.20439623728163,0.17498480704953,-0.45363220824833,0.30935075330175,0.21157274050806998,0.06358381502890201,0.067441180768669,0.0
2008-12-31,,0.0067827266561157,0.056322770920985,5.2199108469539,-1.0222730241671998,-1.0043094741095,-0.69510449470369,-0.71752601126406,-0.1500320410125,-0.2493083307716,-0.31016635859519,-0.05359765051395,-0.094642511765844,0.12052496699542,0.11432381741769002,-0.6268627767900401,-0.9091553622914399,0.11542746798759,0.019224261300249,0.0054347826086957,-0.10534601957697,0.0
2009-12-31,,0.0071657513831331,0.059419762479738,-0.6932632584806501,-42.202346041055996,-224.15625,-0.665988523735,-0.70446907076029,0.038262180755819,1.0184275184275,1.2352625937835,-0.07775191793810901,0.11279641102329,0.2700810867004,0.040943507781507,-0.80542320020792,2.9817898022893,0.022457928781684,0.076529955450382,0.054054054054054,0.12685539403213,0.0
2010-12-31,,0.0075809786354237,0.066316525735983,-0.032710280373832,-0.29957295373665,-0.40442515053914,1.3223488989536,0.86476102658675,-0.099046927475719,0.10529519172246,0.08942699592423899,0.067576409010188,0.079541818647213,0.26285059478337003,0.068959989006711,2.6607301869991002,0.16006794721023998,0.082223784306462,0.08877951688270598,0.0,0.08724877783813201,0.0
2011-12-31,,0.0080872294198117,0.080951125948051,0.5531400966183599,-0.026318463570775004,0.0055255114037151,0.54734364492266,0.80731827921543,-0.0048761812649861,-0.15051395007342003,-0.2231514084507,0.049903694624409,-0.014819205690575,0.1874000777773,0.0068732056391138,-0.66358550231087,-1.1232259517909,0.027659451567232003,-0.010940951868814002,0.020512820512821,-0.069068881533754,0.0
2012-12-31,,0.0085212532428657,0.09226459767997501,1.2218766200103999,-0.47317887706115996,-0.8795744183327501,-0.25038028597505,-0.11664386684907001,-0.027355376921052003,-0.6376404494382,-0.87592067988669,0.9435456971314201,0.50324909747292,-0.50167394468705,0.010150059155480999,0.022776572668113,-5.2879341864717,0.028286130981817002,0.046906316615362,0.040201005025125996,0.20788891124975,0.0
2013-12-31,,0.0087460672378653,0.09862794896724099,0.27018198786748,3.1935419968303997,18.350485436893,0.21990955473098003,0.046975015486269006,-0.17191273211757999,-0.016696481812761003,-0.92465753424658,0.064229630583087,0.05879763048350901,0.30757996202717,0.04158679468653,1.0187345351714001,0.33361756555106,0.057108946449932,0.062559410370906,0.048309178743961,0.29773408863712,0.0
2014-12-31,,0.0086310049235959,0.10317908244122001,-0.023144746509919,0.067929519580519,0.21524258692489,-0.23725108122237998,-0.14145547776352999,-0.0081452058927045,1.7119466343238,87.15151515151501,-0.022738268021287002,0.085396741390391,0.08008488774712401,0.048295109816769995,0.15303799684819,-0.05306905370844,0.065854168385731,0.059241084408263,0.050691244239631,0.057944965121753005,0.0
2015-12-31,,0.008304323304615,0.10504193082335,-0.036667920270778004,-0.42991108948556,-0.49230007018703004,-0.11838743846969,-0.18158846838569,0.0095807776144371,0.03533094812164601,0.038844963905122,-0.011179867986799,-0.0039356366675954,0.11220268872802,0.043836092140294,-0.041457858769932,0.13099257258608998,0.063120528209921,0.066999927387821,0.048245614035088,0.081024230411391,0.0
2016-12-31,,0.0078694595532925,0.10289041319131,-0.015615850087838999,0.013966480446927,0.032202976335692,-0.097392041840413,-0.12420181039927,0.012050612572806003,0.043196544276458,0.063534083388485,-0.010972506153782,-0.002237840483933,0.060437006043699996,0.046046478961746,0.041666666666667,-0.037313432835820996,0.06575000376238599,0.064500404213473,0.03765690376569,0.04606346355336,0.0
2017-12-31,,0.0074826807517129,0.10219426683143999,-0.028157842554035,0.029078665442302004,0.04451272354841201,0.0011745360582569,0.0085730310071308,0.0045395911887279,0.0018633540372672,-0.0080896079651524,0.0070868134649456,0.006237953390573001,0.071854449802718,0.041842763650756,-0.038022813688212996,-0.038759689922481,0.06325015407923901,0.061999986398043,0.040322580645161,0.054373099624395994,0.0
2018-12-31,,0.0071041884319498,0.10028427181626,-0.063864517445419,0.044095776323617004,0.09096394629657598,0.23181604880338003,0.26159834763267004,0.0015804420298802,-0.041744162016946,-0.075282308657466,0.012565971349584999,0.0033782607181415,0.070555032925682,0.03878180233287799,-0.039525691699605,-0.040322580645161,0.060750113960016,0.05949981001660801,0.034883720930233,0.048990670059372,0.0
2019-12-31,,0.0067711575095721,0.098213618150149,-0.035527462946818,0.056477458870451,0.064159292035398,-0.063238095238095,-0.067124236509036,0.0022189896200598,-0.05154194522320501,-0.082767978290366,0.012410027302059999,0.0021173203748698,0.034194238557347,0.036844150289131,-0.041152263374486,-0.04201680672268899,0.058249917607449006,0.057000165613817,0.033707865168539,0.024127559106051005,0.0
