Date,ODA/TON_LE_Value,ODA/TON_LP_Value,ODA/TON_PPPGDP_Value,ODA/TON_BCA_NGDPD_Value,ODA/TON_TX_RPCH_Value,ODA/TON_TXG_RPCH_Value,ODA/TON_TM_RPCH_Value,ODA/TON_TMG_RPCH_Value,ODA/TON_GGXCNL_NGDP_Value,ODA/TON_GGXONLB_NGDP_Value,ODA/TON_GGR_NGDP_Value,ODA/TON_GGX_NGDP_Value,ODA/TON_PPPEX_Value,ODA/TON_PCPIPCH_Value,ODA/TON_PCPIEPCH_Value,ODA/TON_PCPI_Value,ODA/TON_PCPIE_Value,ODA/TON_PPPSH_Value,ODA/TON_NID_NGDP_Value
1991-12-31,,0.010526315789474001,0.09704641350211,-0.25383781831317,,,,,,,,,0.070197044334975,1.4717684659091002,0.9972563176895299,0.13922502149045002,0.13832148486506,0.0,
1992-12-31,,0.0,-0.015384615384615,-0.30848360159748,,,,,,,,,0.092059838895282,-0.38244378995761996,-0.39136721856698997,0.08596221377368901,0.084183457201797,0.0,
1993-12-31,,0.010416666666667001,0.0234375,-0.15155757787889002,,,,,,,,,0.049525816649104,-0.78946144003722,-1.3205036825849,0.018119137336647,-0.026977010895063002,0.0,
1994-12-31,,0.0,0.038167938931297996,0.8273514851485101,,,,,,,,,-0.011044176706826999,1.1668508287293,-3.8094885100074,0.039215686274510005,0.075781522059414,0.0,
1995-12-31,,0.0,0.06985294117647,-0.032283553448470004,,,,,,,,,-0.053807106598985,-1.1223865374809,-1.0042216358839,-0.0048243287615873,-0.00029880478087632997,0.0,
1996-12-31,,0.0,0.017182130584192,-0.45748279482095006,,,,,,,,,0.043991416309013,-6.5708333333333,-98.5625,0.026751269035532994,0.031209524758393996,0.0,
1997-12-31,,0.010309278350514999,-0.016891891891892,-0.8518598150935299,,,,,,,,,-0.018499486125384997,-0.25430067314884,-0.36611146700833,0.019948583576408,0.019782130866404,0.0,
1998-12-31,,0.0,0.04810996563573901,11.026124818578,,,,,,,,,0.014659685863873999,0.51955867602808,0.63163213744315,0.030294951649257006,0.032306963524396,0.0,
1999-12-31,,0.010204081632653,0.039344262295082005,-0.6676321506155,,,,,,,,,0.04953560371517,0.28778877887789,0.37379993806132006,0.039025193479335,0.044351138032305,0.0,
2000-12-31,,0.0,0.031545741324921,1.2116920842411,,,,,-7.852941176470599,,0.023008767453727,-0.07512941499839701,0.031465093411996,0.5681701691440301,0.42605951307484,0.061195381480643,0.06327306281169699,0.0,
2001-12-31,,0.010101010101010001,0.058103975535167995,-0.72336233787555,,,,,0.37929184549356,0.31415371692565996,0.09232303994921301,0.06582792609837,0.038131553860820004,0.41657133518549005,0.38128359152703,0.08668103172402,0.08736078682563002,0.0,0.092367354133615
2002-12-31,,0.0,0.043352601156069,-1.3620178041543,-2.7940138359452003,-7.5770896315058,-1.0274227283291,-1.1656350581827,0.017502917152859,0.021093000958773,0.013533147909834,0.013105307184683,0.07254361799816299,0.19347023534841,0.31815060654612,0.10344353698758998,0.11517339667458,0.0,-0.073382281749233
2003-12-31,,0.01,0.033240997229917,0.052459016393443005,-0.90863303690879,-0.7422388411990501,-2.9703389830508,7.2122571001495,0.31077981651376,0.26823161189358,-0.031456072086832,-0.07256880733945,0.052226027397260004,0.086708554857419,-0.035856919604098,0.11240992794235001,0.11104863170092,0.0,-0.087378640776699
2004-12-31,,0.0,0.040214477211795996,-0.39408099688474,-2.1214470284238,-0.7082269025013299,-11.436559139784999,-1.9994539497633999,0.27675707203266,0.26480750246792,0.041442889161416,0.0015332871698486,0.03336045565500399,-0.037448852517346,-0.15956776226925,0.10821617644707,0.093339263530819,0.0,0.028289285373532997
2005-12-31,,0.0,0.033505154639175,-14.254498714653002,2.5829493087557998,-3.8277172117608,-1.2468576138471001,-0.77271899471863,-0.34627683873915,-0.30478048780488,0.10959515978397999,0.20810904242185,0.08582677165354301,-0.20996211071065998,-0.19854280510018,0.08549697643204499,0.07479414776473199,0.0,0.0010670378102528
2006-12-31,,0.0099009900990098,0.0024937655860349,0.09600465477114,1.4833869239014,0.16402827267948,0.23956594323873,-2.1370192307692,0.17889587700907997,0.10019646365422,0.012991290346190001,-0.0063769774761886,0.079042784626541,-0.28588138963621,-0.1942513368984,0.061053275364630996,0.060270682972031,0.0,-0.011307813513764002
2007-12-31,,0.0,0.012437810945273998,0.010263670146877,-0.6780319378506701,-0.9230692025894499,-6.041750841750799,-5.7167019027484,0.06935388263189099,0.075255102040816,0.024854593403417002,0.018677747151026002,0.041666666666667,0.20966420966421,0.49742823958852,0.073842491071988,0.090252218761925,0.0,-0.0013593325208587
2008-12-31,,0.0,0.04668304668304701,0.43667892800840996,-0.59222520107239,20.810176125245,-0.6985441431815099,-0.5024652622142499,0.7098115299334801,0.63226571767497,0.065635024146075,-0.028229877630144,0.0025806451612903,0.0093432633716994,-0.29130193905817,0.07454082942425701,0.06395998690316299,0.0,0.067871391692091
2009-12-31,,0.0098039215686275,0.039906103286385,-0.18093148012679997,2.1584483892176003,-0.25237027067444,-1.0877270713336,-0.7819819819819799,-0.26908737234560004,-0.22703488372093,0.044788462174589004,0.12521818635192,-0.00064350064350072,-0.5269653877113,-0.6898061288305201,0.035260517342484005,0.019833184770152,0.0,0.2047822073755
2010-12-31,,0.0,0.042889390519187005,-0.44700803810658,-3.9202747710241,-1.7033644037284,-36.59595959596,11.241046831956,-1.8458638278997999,-1.5586686724332,-0.11989868608517,0.16757156048015,0.035415325177077,0.096142938173568,1.4884072580645,0.038653981307627,0.049373081525415,0.0,0.21192995257205
2011-12-31,,0.0,0.038961038961039,0.28236877523553,0.2650224534892,0.082015697872824,0.55916572077185,-0.016653538877011,-0.034347142108023,-0.041400201952205,-0.017950931721707,-0.019929140832595,0.019278606965174,0.19327296248383,-0.066032003240835,0.04612292714456,0.046108081308875,0.0,0.04563653330925099
2012-12-31,,0.0,0.022916666666667005,0.27287993282955,-0.87468304502169,-1.2803826745164,-0.64091364091364,-0.7998626845176801,-0.65598696714635,-0.8546348314606701,-0.051613612220228,-0.12342650571298999,-0.0030506406345333,-0.57545533391154,-0.7328128388635899,0.019578124245789,0.012322274881517,0.0,-0.04194616381171701
2013-12-31,,0.0097087378640777,0.024439918533605002,-0.27490105540897,-1.7760791366906001,-0.67641544806899,-1.4374049670552,-1.9868496283591002,-1.4396211523283002,-4.4927536231884,0.051911935110081,-0.017711171662125002,-0.003671970624235,-0.43513789581205,-0.3961038961039,0.01105924460057,0.0074438202247191,0.0,0.03542881182763401
2014-12-31,,0.0,0.039761431411531,-0.28405731180349997,-0.72943221320973,-0.72943221320973,-0.72943221320973,-0.72943221320973,0.23698384201077,0.11272475795297,0.10119703312036,0.09832439929527301,0.0,0.47649186256780995,1.3225806451613,0.016323128646482003,0.017277754542496998,0.0,-5.8043358388787e-05
2015-12-31,,0.0,0.049713193116635,0.44091486658196,1.0813704496788001,1.0813704496788001,1.0813704496788001,1.0813704496788001,-2.033381712627,-0.85146053449347,-0.060253417805934996,-0.013822525597270001,0.0036855036855037,0.38334353949786,0.6099537037037,0.022594080572038995,0.027810769821112004,0.0,0.0
2016-12-31,,0.0,0.040072859744991,0.36000881834215,0.32716049382715995,0.32716049382715995,0.32716049382715995,0.32716049382715995,0.037921348314607,-0.087866108786611,-0.09505730404854,-0.091780584876276,0.012851897184823,0.40416113324479996,0.27713874910137,0.031727580738177996,0.035529520524809,0.0,-2.9023363807797998e-05
2017-12-31,,0.0096153846153846,0.038528896672504,-0.3032906467823,0.08914728682170502,0.08914728682170502,0.08914728682170502,0.08914728682170502,-1.3829499323410002,4.7568807339450006,0.0056461731493098,-0.033456540791830004,0.016918429003021002,0.19262295081966999,0.12721643681396,0.037826318593500004,0.04005322116829,0.0,0.0
2018-12-31,,0.0,0.043844856661046,-0.63610981852024,0.016370106761566004,0.016370106761566004,0.016370106761566004,0.016370106761566004,3.1236749116608,0.69322709163347,0.034115720524017,-0.00035481963335292,0.010101010101010001,0.14670896114195,0.16279650436954002,0.043382031171103994,0.046574392750142,0.0,-2.9024206187892998e-05
2019-12-31,,0.0,0.046849757673666996,-0.45396419437339997,0.10084033613445,0.10084033613445,0.10084033613445,0.10084033613445,-0.011996572407883,-0.029647058823529,-0.0065226407269162,-0.0062707051585425,0.012352941176471,0.083909635776856,0.018681554648916,0.047014510053797996,0.047435412132109,0.0,0.0
